battle_url,location
https://en.wikipedia.org/wiki/Battle_of_Suessula,"Near Suessula, Italy"
https://en.wikipedia.org/wiki/Battle_of_Maling,"Dazhangjia Town (大張家鎮), Shen County (莘縣), Henan Province"
https://en.wikipedia.org/wiki/Battle_of_the_Crimissus,"Crimissus river, modern Freddo river, on Sicily, Italy37°56′27″N 12°50′15″E﻿ / ﻿37.94083°N 12.83750°E﻿ / 37.94083; 12.83750"
https://en.wikipedia.org/wiki/Battle_of_Chaeronea_(338_BC),"Chaeronea, Boeotia, Greece38°29′42″N 22°50′51″E﻿ / ﻿38.49500°N 22.84750°E﻿ / 38.49500; 22.84750"
https://en.wikipedia.org/wiki/Battle_of_Trifanum,"unidentified, in Caserta province, Italy"
https://en.wikipedia.org/wiki/Battle_of_Mount_Haemus,"Ancient Greece, Illyria, Thrace, Dacia"
https://en.wikipedia.org/wiki/Siege_of_Pelium,"Pelium, Illyria"
https://en.wikipedia.org/wiki/Battle_of_Thebes,"Thebes, Boeotia, Greece"
https://en.wikipedia.org/wiki/Battle_of_the_Granicus,"At the Granicus in the Troad region(modern-day Biga River, Balıkesir, Turkey)40°19′00″N 27°16′52″E﻿ / ﻿40.3167082°N 27.2811127°E﻿ / 40.3167082; 27.2811127"
https://en.wikipedia.org/wiki/Siege_of_Miletus,"Miletus, Ionia(modern-day Balat, Didim, Aydın Province, Turkey)37°31′49″N 27°16′42″E﻿ / ﻿37.53028°N 27.27833°E﻿ / 37.53028; 27.27833"
https://en.wikipedia.org/wiki/Siege_of_Halicarnassus,"Halicarnassus(modern-day Bodrum, Turkey)37°02′00″N 27°26′00″E﻿ / ﻿37.0333°N 27.4333°E﻿ / 37.0333; 27.4333"
https://en.wikipedia.org/wiki/Battle_of_Issus,"Issus, Anatolia, Achaemenid Empire(modern-day Kinet Höyük, Yeşilköy, Dörtyol, Hatay, Turkey)36°45′09″N 36°11′32″E﻿ / ﻿36.7525°N 36.1923°E﻿ / 36.7525; 36.1923"
https://en.wikipedia.org/wiki/Siege_of_Tyre_(332_BC),"Tyre, Phoenicia (modern-day Lebanon)33°16′15″N 35°11′46″E﻿ / ﻿33.27083°N 35.19611°E﻿ / 33.27083; 35.19611"
https://en.wikipedia.org/wiki/Siege_of_Gaza_(332_BCE),"Gaza, Persian Egypt (modern-day Gaza Strip)31°31′N 34°27′E﻿ / ﻿31.517°N 34.450°E﻿ / 31.517; 34.450"
https://en.wikipedia.org/wiki/Battle_of_Pandosia,"Near Pandosia, present-day Italy"
https://en.wikipedia.org/wiki/Battle_of_Megalopolis,Megalopolis37°24′04″N 22°08′32″E﻿ / ﻿37.4011°N 22.1422°E﻿ / 37.4011; 22.1422
https://en.wikipedia.org/wiki/Battle_of_Gaugamela,"Probably Tel Gomel (Gaugamela) near Erbil, modern Iraqi Kurdistan, north of Mount Alfaf[1]36°34′N 43°26′E﻿ / ﻿36.56°N 43.44°E﻿ / 36.56; 43.44"
